;BIOMATERIAL ID (Required);BIOMATERIAL NAME;BIOMATERIAL DESCRIPTION;NCBI TAXON ID (Required);GENOTYPE;SUPPLEMENTARY FILES;BIOSAMPLES ID;INSDC ID;GENUS SPECIES (Required);GENUS SPECIES ONTOLOGY ID;GENUS SPECIES ONTOLOGY LABEL ONTOLOGY ID;ORGAN (Required);ORGAN ONTOLOGY ID;ORGAN ONTOLOGY LABEL ONTOLOGY ID;ORGAN PART;ORGAN PART ONTOLOGY ID;ORGAN PART ONTOLOGY LABEL ONTOLOGY ID;KNOWN DISEASE(S);KNOWN DISEASE(S) ONTOLOGY ID;KNOWN DISEASE(S) ONTOLOGY LABEL ONTOLOGY ID;AUTOLYSIS SCORE;GROSS DESCRIPTION;GROSS IMAGE;ISCHEMIC TEMPERATURE;ISCHEMIC TIME;MICROSCOPIC DESCRIPTION;MICROSCOPIC IMAGE;POST-MORTEM INTERVAL;STORAGE METHOD;STORAGE TIME;STORAGE TIME UNIT;STORAGE TIME UNIT ONTOLOGY ID;STORAGE TIME UNIT ONTOLOGY LABEL ONTOLOGY ID;PRESERVATION METHOD;TIME OF COLLECTION;BIOMATERIAL ID (Required);PROTOCOL ID (Required)
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;A taxonomy ID (taxonID) from NCBI.;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;The scientific binomial name for the species of the specimen.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;A term that may be associated with an anatomy-related ontology term.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;A term for a specific part of the organ that the biomaterial came from.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;Short description of known disease(s) of the specimen.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;State of tissue breakdown due to self-digestion.;Color, size, and other aspects of specimen as visible to naked eye.;List of filenames of photographs of specimen without magnification.;Whether specimen experienced warm or cold ischemia.;Duration of time, in seconds, between when the specimen stopped receiving oxygen and when it was preserved or processed.;How the specimen looks under the microscope and how it compares with normal cells.;List of filenames of photographs of specimen under microscope.;Duration of time between when death was declared and when the specimen was preserved or processed.;The method by which a biomaterial was stored after preservation or before another protocol was used.;Length of time the biomaterial was stored for in Storage time units.;A term that may be associated with a time unit-related ontology term;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;The method by which a biomaterial was preserved through the use of chemicals, cold, or other means to prevent or retard biological or physical deterioration.;When the biomaterial was collected.;A unique ID for the biomaterial.;A unique ID for the protocol.
;;;; For example: 9606;" For example: DRB1 0401 protective allele; HLA-B*3901 allele"; For example: sample_site_image.jpg;Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";" For example: heart; immune system";" For example: UBERON:0000948; UBERON:0002405";" For example: heart; immune system";"The term organ part is very broadly defined here. For example: bone marrow; islet of Langerhans";" For example: UBERON:0002371; UBERON:0000006";" For example: bone marrow; islet of Langerhans";"Enter normal if no known diseases. For example: type 2 diabetes mellitus; normal";" For example: MONDO:0005148; PATO:0000461";" For example: type 2 diabetes mellitus; normal"; For example: Should be one of: none, mild, or moderate.;" For example: focal wedge shaped region of tan-orange discoloration; cystic";File must be of format JPEG, TIFF, or PNG. For example: my_gross_image_file.jpg; For example: Should be one of: warm, or cold.; For example: 7200;" For example: Mixture of different cell sizes apparent; Dead cells are quite faint on microscope";File must be of format JPEG, TIFF, or PNG. For example: my_microscopic_image_file.jpg;Enter time in seconds. For example: 2400;" For example: frozen in liquid nitrogen; fresh"; For example: 5;" For example: second; week";" For example: UO:0000010; UO:0000034";" For example: second; week";"Enter 'fresh' if not preserved. For example: cryopreservation in liquid nitrogen (dead tissue); fresh";Enter the time in date-time format: yyyy-mm-ddThh:mm:ssZ. For example: 2017-03-19T07:22:00Z;;Protocol ID should have no spaces.
specimen_from_organism.uuid;specimen_from_organism.biomaterial_core.biomaterial_id;specimen_from_organism.biomaterial_core.biomaterial_name;specimen_from_organism.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.ncbi_taxon_id;specimen_from_organism.biomaterial_core.genotype;specimen_from_organism.biomaterial_core.supplementary_files;specimen_from_organism.biomaterial_core.biosd_biomaterial;specimen_from_organism.biomaterial_core.insdc_biomaterial;specimen_from_organism.genus_species.text;specimen_from_organism.genus_species.ontology;specimen_from_organism.genus_species.ontology_label;specimen_from_organism.organ.text;specimen_from_organism.organ.ontology;specimen_from_organism.organ.ontology_label;specimen_from_organism.organ_parts.text;specimen_from_organism.organ_parts.ontology;specimen_from_organism.organ_parts.ontology_label;specimen_from_organism.diseases.text;specimen_from_organism.diseases.ontology;specimen_from_organism.diseases.ontology_label;specimen_from_organism.state_of_specimen.autolysis_score;specimen_from_organism.state_of_specimen.gross_description;specimen_from_organism.state_of_specimen.gross_images;specimen_from_organism.state_of_specimen.ischemic_temperature;specimen_from_organism.state_of_specimen.ischemic_time;specimen_from_organism.state_of_specimen.microscopic_description;specimen_from_organism.state_of_specimen.microscopic_images;specimen_from_organism.state_of_specimen.postmortem_interval;specimen_from_organism.preservation_storage.storage_method;specimen_from_organism.preservation_storage.storage_time;specimen_from_organism.preservation_storage.storage_time_unit.text;specimen_from_organism.preservation_storage.storage_time_unit.ontology;specimen_from_organism.preservation_storage.storage_time_unit.ontology_label;specimen_from_organism.preservation_storage.preservation_method;specimen_from_organism.collection_time;donor_organism.biomaterial_core.biomaterial_id;collection_protocol.protocol_core.protocol_id
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17aea4fd-cd72-4c36-8ded-d686162804b4;F16_1;F16_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F16;fetal_kidney_collection
5fbd4bb4-e761-4345-99b8-bd5e141a8b94;F17_1;F17_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F17;fetal_kidney_collection
442f68c7-502a-4fc7-a3b8-94e9574cd22d;F35_1;F35_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F35;fetal_kidney_collection
a39685fd-b34a-4db7-b973-381919edb96e;F38_1;F38_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F38;fetal_kidney_collection
f37a0dec-b7ba-4b34-8e51-732fb5ac7213;F41_1;F41_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F41;fetal_kidney_collection
ddd10ecc-f7b7-4370-82cf-14e30987b751;F45_1;F45_1;Fetal kidney sample;9606;;;;;Homo sapiens;NCBITaxon:9606;Homo sapiens;Fetal Kidney;UBERON:0002113;kidney;;;;Normal;PATO:0000461;normal;;;;;;;;;fresh;;;;;fresh;;F45;fetal_kidney_collection
