;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
0f9ea3ab-113b-4357-9656-f23e4b457936;Human_HC_1_colon_sample_cells;;Human healthy donor colon, stromal cells;Human_HC_1_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1919;;;stromal cell;CL:0000499;stromal cell;SAMN09204837;SRS3296611;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5c825e68-5cdf-4d25-919c-d2ca719dbae1;Human_HC_2_colon_sample_cells;;Human healthy donor colon, stromal cells;Human_HC_2_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2459;;;stromal cell;CL:0000499;stromal cell;SAMN09204836;SRS3296612;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0c945bb8-213f-423f-8bb0-6a501541da5c;Human_UC_1_colon_sample_cells;;Human UC donor colon, stromal cells;Human_UC_1_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2097;;;stromal cell;CL:0000499;stromal cell;SAMN09204845;SRS3296613;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b9df7fbc-6271-4bde-a524-6bfb97437135;Human_UC_2_colon_sample_cells;;Human UC donor colon, stromal cells;Human_UC_2_colon_sample;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;2806;;;stromal cell;CL:0000499;stromal cell;SAMN09204844;SRS3296614;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
88b5e68b-483c-4303-b8bd-3561ba03b46a;Mouse_HC_1_colon_sample_cells;;Mouse healthy colon, stromal cells;Mouse_HC_1_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1258;;;stromal cell;CL:0000499;stromal cell;SAMN09204843;SRS3296616;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
0c4b7a3e-cafd-4b80-b97d-3d770080a7b4;Mouse_HC_2_colon_sample_cells;;Mouse healthy colon, stromal cells;Mouse_HC_2_colon_sample;10090;Mus musculus;NCBITaxon:10090;Mus musculus;1244;;;stromal cell;CL:0000499;stromal cell;SAMN09204842;SRS3296615;mouse_stromal_cell_enzymatic_dissociation;mouse_epithelial_hematopoietic_cell_depletion||size_selection;;;;;;;
