bundle_uuid	bundle_version	file_name	sample.biomaterial_core.biomaterial_id	date
380	6ba77e54-c852-4799-9cf4-1a42d9321f96	2019-10-04T094331.590666Z	SRR7159836_S1_L004_R1_001.fastq.gz	Human_HC_1_colon_sample	2019-10-04 09:43:31.590666+00:00
345	6ba77e54-c852-4799-9cf4-1a42d9321f96	2019-10-04T094331.590666Z	SRR7159836_S1_L005_R1_001.fastq.gz	Human_HC_1_colon_sample	2019-10-04 09:43:31.590666+00:00
352	6ba77e54-c852-4799-9cf4-1a42d9321f96	2019-10-04T094331.590666Z	SRR7159836_S1_L006_R1_001.fastq.gz	Human_HC_1_colon_sample	2019-10-04 09:43:31.590666+00:00
381	6ba77e54-c852-4799-9cf4-1a42d9321f96	2019-10-04T094331.590666Z	SRR7159836_S1_L007_R1_001.fastq.gz	Human_HC_1_colon_sample	2019-10-04 09:43:31.590666+00:00
212	1d457990-da79-4c2f-9de6-f70d2c33b800	2019-10-04T094331.542689Z	SRR7159837_S1_L004_R1_001.fastq.gz	Human_HC_2_colon_sample	2019-10-04 09:43:31.542689+00:00
698	1d457990-da79-4c2f-9de6-f70d2c33b800	2019-10-04T094331.542689Z	SRR7159837_S1_L005_R1_001.fastq.gz	Human_HC_2_colon_sample	2019-10-04 09:43:31.542689+00:00
205	1d457990-da79-4c2f-9de6-f70d2c33b800	2019-10-04T094331.542689Z	SRR7159837_S1_L006_R1_001.fastq.gz	Human_HC_2_colon_sample	2019-10-04 09:43:31.542689+00:00
689	1d457990-da79-4c2f-9de6-f70d2c33b800	2019-10-04T094331.542689Z	SRR7159837_S1_L007_R1_001.fastq.gz	Human_HC_2_colon_sample	2019-10-04 09:43:31.542689+00:00
162	9ff12571-ab41-4246-806d-61db4baf347e	2019-10-04T094331.676137Z	SRR7159838_S1_L004_R1_001.fastq.gz	Human_UC_1_colon_sample	2019-10-04 09:43:31.676137+00:00
166	9ff12571-ab41-4246-806d-61db4baf347e	2019-10-04T094331.676137Z	SRR7159838_S1_L005_R1_001.fastq.gz	Human_UC_1_colon_sample	2019-10-04 09:43:31.676137+00:00
718	9ff12571-ab41-4246-806d-61db4baf347e	2019-10-04T094331.676137Z	SRR7159838_S1_L006_R1_001.fastq.gz	Human_UC_1_colon_sample	2019-10-04 09:43:31.676137+00:00
719	9ff12571-ab41-4246-806d-61db4baf347e	2019-10-04T094331.676137Z	SRR7159838_S1_L007_R1_001.fastq.gz	Human_UC_1_colon_sample	2019-10-04 09:43:31.676137+00:00
540	e7b7381c-e681-4da5-b9b0-a3e54761a514	2019-10-04T094331.678895Z	SRR7159839_S1_L004_R1_001.fastq.gz	Human_UC_2_colon_sample	2019-10-04 09:43:31.678895+00:00
929	e7b7381c-e681-4da5-b9b0-a3e54761a514	2019-10-04T094331.678895Z	SRR7159839_S1_L005_R1_001.fastq.gz	Human_UC_2_colon_sample	2019-10-04 09:43:31.678895+00:00
774	e7b7381c-e681-4da5-b9b0-a3e54761a514	2019-10-04T094331.678895Z	SRR7159839_S1_L006_R1_001.fastq.gz	Human_UC_2_colon_sample	2019-10-04 09:43:31.678895+00:00
781	e7b7381c-e681-4da5-b9b0-a3e54761a514	2019-10-04T094331.678895Z	SRR7159839_S1_L007_R1_001.fastq.gz	Human_UC_2_colon_sample	2019-10-04 09:43:31.678895+00:00
