;FILE NAME (Required);INPUT CELL SUSPENSION ID (Required);FILE FORMAT (Required);CONTENT DESCRIPTION;CONTENT DESCRIPTION ONTOLOGY ID;CONTENT DESCRIPTION ONTOLOGY LABEL ONTOLOGY ID;CHECKSUM;READ INDEX (Required);LANE INDEX;READ LENGTH;INSDC RUN ACCESSION;LIBRARY PREPARATION ID;;LIBRARY PREPARATION PROTOCOL ID (Required);SEQUENCING PROTOCOL ID (Required);PROCESS START TIME
;The name of the file.;A unique ID for the biomaterial.;The format of the file.;General description of the contents of the file.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;MD5 checksum of the file.;The sequencing read this file represents.;The lane that this file was sequenced from.;The length of a sequenced read in this file, in nucleotides.;An International Nucleotide Sequence Database Collaboration (INSDC) run accession.;A unique ID for the library preparation.;;A unique ID for the protocol.;A unique ID for the protocol.;Date and time the process started.
;"Include the file extension in the file name. For example: R1.fastq.gz; codebook.json";;"Indicate the full file extension including compression extensions. For example: fastq.gz; tif";" For example: DNA sequence (raw); Sequence alignment";" For example: data:3497; data:0863";" For example: DNA sequence (raw); Sequence alignment"; For example: e09a986c2e630130b1849d4bf9a94c06;If a sequencing experiment is single-end, enter 'read1'. For example: Should be one of: read1, read2, index1, index2; For example: 1; For example: 51;Enter accession if run has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRR, SRR, or ERR, respectively. For example: SRR0000000;Indicate which samples are from the same library preparation by providing a unique identifier for each library preparation. For example: tech_rep_group_001;;Protocol ID should have no spaces.;Protocol ID should have no spaces.;"2019-01-16T12:00:00Z; 2019/01/16"
sequence_file.uuid;sequence_file.file_core.file_name;cell_suspension.biomaterial_core.biomaterial_id;sequence_file.file_core.format;sequence_file.file_core.content_description.text;sequence_file.file_core.content_description.ontology;sequence_file.file_core.content_description.ontology_label;sequence_file.file_core.checksum;sequence_file.read_index;sequence_file.lane_index;sequence_file.read_length;sequence_file.insdc_run_accessions;sequence_file.library_prep_id;process.process_core.process_id;library_preparation_protocol.protocol_core.protocol_id;sequencing_protocol.protocol_core.protocol_id;process.start_time
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;
5f6309c0-d300-4198-b38d-1c83f4a174c4;HEF_L001_I1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;543bb0ed977e8ae72b829fe7f159e73f;index1;1;8;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
ec55210e-380a-4c61-b43e-c884d4e25b70;HEF_L001_R1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;03f6fc8a323a930236705fccf5bb243a;read1;1;26;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
6abb80e3-8a35-4ca0-ae20-6203a58f1b6f;HEF_L001_R2.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;38a93261a152557eb1e38d3e5a905b0e;read2;1;98;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
bf6f2b23-b9ab-4fac-81b5-401cadee5b34;HEF_L002_I1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;5d5c11da403054a6a25ad7d38658079e;index1;2;8;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
8129d8c5-fba1-4d5d-82a2-68fbbbe999c8;HEF_L002_R1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;b91ebbd6924050a4e516522b4cb3c754;read1;2;26;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
5a48a46b-2f1e-4eea-9835-801075708af7;HEF_L002_R2.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;382e0448eecc352f9d971dd96d52292b;read2;2;98;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
ce68cc86-cd2d-48a3-8e8c-d9559970f197;HEF_L003_I1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;b0c55a562506b47aa36e5623fcbb10b6;index1;3;8;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
16b015de-b772-412b-99da-1fb2f90b2b5d;HEF_L003_R1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;c64d394521faa282bfd4590d1d2a382e;read1;3;26;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
cc311b56-31b6-445a-9fda-c53bda7eeaba;HEF_L003_R2.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;aa19ddf3299766ba7ca41c33f85306c0;read2;3;98;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
dbdd27c5-21bb-4bac-8d3d-d5ba0ee81b35;HEF_L004_I1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;8675af179b892d08e768974e1a7a0ce1;index1;4;8;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
b3b210b7-4f42-4b41-982e-0cc125984d16;HEF_L004_R1.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;2026a70bdbf2eaa30a2d68115d27078b;read1;4;26;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
d9aa0fca-eb1c-4ce9-96c2-3793bf86879b;HEF_L004_R2.fastq.gz;cellsuspension1;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;74de84622fb0e8dcdb991d4b74b78375;read2;4;98;;HEF;HEF;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
0af6dd88-f5ce-48e8-b046-b1261f7512e1;IDC3_L001_I1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;f37dfb0f858b78e3bb83faf4558e7a79;index1;1;8;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
bcc68ce8-3e90-47a6-9739-91f53c756d92;IDC3_L001_R1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;68d2c49513f41bc083c4562d173bf428;read1;1;26;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
24f0af41-24d3-4912-8234-24233ebd99a7;IDC3_L001_R2.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;d4a9bf17db6c55b5180169d15d113379;read2;1;98;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
aedbefa4-5881-4b3a-a88f-b05652e949b8;IDC3_L002_I1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;2303c6988b4566e6778624fe6ddca9c6;index1;2;8;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
6eb05548-0257-4b47-aa0f-c5b97b9f3e43;IDC3_L002_R1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;8ee36d57b3a8308746c2be8241c8bd48;read1;2;26;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
d7ecc515-147d-45b6-bd3d-8c8b142da871;IDC3_L002_R2.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;1d6b381efca6bd86463b3036a83b5d93;read2;2;98;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
efdaec9a-81f0-48bb-8e7a-11dc7d9f9ad0;IDC3_L003_I1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;559583564b9e87d675933f1fa1b34907;index1;3;8;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
afb2997b-332e-4100-8c18-24892b8d8ff8;IDC3_L003_R1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;7b83da61253bfdaf33999cc919d913db;read1;3;26;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
35c3bcfa-08e0-4107-8a3e-c255a9740e58;IDC3_L003_R2.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;bed94ef3ea593eb221db7861e7c7a15a;read2;3;98;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
5e1e5645-1b7b-4438-9007-d46abffd6c05;IDC3_L004_I1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;5d4216b1c0c46fe7a7f80f4c0cddc00e;index1;4;8;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
2fa4aed6-2ce2-41a3-94b0-9936dc2f209f;IDC3_L004_R1.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;7d6f33634b5efb568270133a38e0ca73;read1;4;26;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
4224186c-4904-4adb-a281-e6a0e2f3b21e;IDC3_L004_R2.fastq.gz;cellsuspension2;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;b1f8af0f7f59e63d23f26465efd83807;read2;4;98;;IDC3;IDC3;SingleCell3_ReagentKitv2;Illumina_NextSeq;2018.07.31
5f68ea73-350b-4d37-a341-3004139fb699;IDC9_L001_I1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;23b88d6cfe7a0841e1c08e9c4db83ede;index1;1;8;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
23f8e139-f4fa-4476-ba59-ff5d37003c34;IDC9_L001_R1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;196b3da7c89c8a36a0aa4b96dc5c84e0;read1;1;26;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
3c3d882a-cc38-4eea-ac53-0885f906852e;IDC9_L001_R2.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;ba420d4a2aa788fc5b063fd54b7e9a03;read2;1;98;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
35e07477-76cb-4a92-99b6-7b3bbb02ec06;IDC9_L002_I1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;0eae5835837bc998310b561d0e1380d9;index1;2;8;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
63051b9f-87d4-4853-a4a0-5cc742ef6e72;IDC9_L002_R1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;962cdc9a0188888d24bf007d86937665;read1;2;26;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
6ca8e43f-5f40-4eb9-bfa9-294c54dbeade;IDC9_L002_R2.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;4e034eb6725ea0e8492c9f2cac5e19b3;read2;2;98;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
3dffc456-caaf-4823-9f65-fc0db7abacbc;IDC9_L003_I1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;99891717a637f470f689c4ef14123550;index1;3;8;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
a2f4b05d-0dae-4655-acfd-ef3b91ae0ad0;IDC9_L003_R1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;39bfe9e0769d4f805a79c6df3c51a4a6;read1;3;26;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
98ee0901-d34c-48a5-915a-0511bac325ec;IDC9_L003_R2.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;5a4720812a69ff4548ff470a203ca5b5;read2;3;98;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
27fc1a2e-d70e-47ee-a4b7-92bf57e5b7a6;IDC9_L004_I1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;17c8cdbee10398d47ca3216eb66ce5d9;index1;4;8;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
133f2a25-f3aa-49a7-b9b6-d185d302fb26;IDC9_L004_R1.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;3bbd35e4d37ac51511afe5abb335cfa2;read1;4;26;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
e46af70a-0396-41db-9b74-330cb8244124;IDC9_L004_R2.fastq.gz;cellsuspension3;fastq.gz;DNA sequence (raw);data:3494;DNA sequence;2144c0da57ef826ce3a919982196a168;read2;4;98;;IDC9;IDC9;SingleCell3_ReagentKitv2;Illumina_NextSeq;2019.01.21
