;COLLECTION PROTOCOL ID (Required);COLLECTION PROTOCOL NAME;COLLECTION PROTOCOL DESCRIPTION;PUBLICATION DOI;PROTOCOLS.IO DOI;DOCUMENT FILENAME;COLLECTION METHOD (Required);COLLECTION METHOD ONTOLOGY ID;COLLECTION METHOD ONTOLOGY LABEL ONTOLOGY ID;RETAIL NAME;CATALOG NUMBER;MANUFACTURER;BATCH/LOT NUMBER;EXPIRY DATE;TITER
;A unique ID for the protocol.;A short name for the protocol.;A general description of the protocol.;The publication digital object identifier (doi) for the protocol.;The protocols.io digital object identifier (doi) for the protocol.;A filename of a PDF document containing the details of the protocol.;A term that may be associated with a process-related ontology term.;An ontology term identifier in the form prefix:accession.;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field.;The retail name of the kit/reagent.;The catalog number of the kit/reagent.;The manufacturer of the kit/reagent.;The batch or lot number of the kit/reagent.;The date of expiration for the kit/reagent.;Appropriate titer and volume recommendations found in kit/reagent Certificate of Analysis.
;Protocol ID should have no spaces.;;; For example: 10.1101/193219; For example: 10.17504/protocols.io.mgjc3un; For example: my_cool_protocol.pdf;" For example: enzymatic dissociation; blood draw";" For example: EFO:0009128; EFO:0009121";" For example: enzymatic dissociation; blood draw";" For example: SureCell WTA 3' Library Prep Kit; CytoTune iPS 2.0 Sendai Reprogramming Kit"; For example: 20014279;" For example: Illumina; ThermoFisher Scientific"; For example: 10001A;"Enter the date in date format: yyyy-mm-dd. Supplying partial date is allowed. For example: 2018-01-31; 2018-01"; For example: 3.0x10^7
collection_protocol.uuid;collection_protocol.protocol_core.protocol_id;collection_protocol.protocol_core.protocol_name;collection_protocol.protocol_core.protocol_description;collection_protocol.protocol_core.publication_doi;collection_protocol.protocol_core.protocols_io_doi;collection_protocol.protocol_core.document;collection_protocol.method.text;collection_protocol.method.ontology;collection_protocol.method.ontology_label;collection_protocol.reagents.retail_name;collection_protocol.reagents.catalog_number;collection_protocol.reagents.manufacturer;collection_protocol.reagents.lot_number;collection_protocol.reagents.expiry_date;collection_protocol.reagents.kit_titer
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;
9382d38e-c0d6-458f-a71d-0172f6554013;lung_rest_collection;;Lungs were flushed with cold complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) and left lateral basal segment of the lung was isolated. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium for 16 hours at 37°C. After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101).;;;;surgical resection;EFO:0009744;surgical resection;Dead Cell Removal Kit;130-090-101;Miltenyi Biotech;;;
50078e07-319c-4ecc-a846-f59258910923;lung_stim_collection;;Lungs were flushed with cold complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) and left lateral basal segment of the lung was isolated. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium for 16 hours at 37°C with TCR stimulation using Human CD3/CD28 T Cell Activator (STEMCELL Technologies 10991). After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101).;;;;surgical resection;EFO:0009744;surgical resection;"Dead Cell Removal Kit; Human CD3/CD28 T Cell Activator";"130-090-101; 10991";"Miltenyi Biotech; STEMCELL Technologies";;;
c7fd0388-47b5-4c7a-adbf-c43b6bd53dc5;lymphnode_rest_collection;;Lymph nodes were isolated from the hilum, near the intersections of major bronchi and pulmonary veins and arteries, removing all fat. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) for 16 hours at 37°C. After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101). ;;;;surgical resection;EFO:0009744;surgical resection;Dead Cell Removal Kit;130-090-101;Miltenyi Biotech;;;
4045a54a-5612-47e0-aa03-0ddce3d232bd;lymphnode_stim_collection;;Lymph nodes were isolated from the hilum, near the intersections of major bronchi and pulmonary veins and arteries, removing all fat. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) for 16 hours at 37°C with TCR stimulation using Human CD3/CD28 T Cell Activator (STEMCELL Technologies 10991). After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101). ;;;;surgical resection;EFO:0009744;surgical resection;"Dead Cell Removal Kit; Human CD3/CD28 T Cell Activator";"130-090-101; 10991";"Miltenyi Biotech; STEMCELL Technologies";;;
ba658392-cc1f-418d-a477-bb92d059e7be;bonemarrow_rest_collection;;BM was aspirated from the superior iliac crest. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) for 16 hours at 37°C. After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101). ;;;;surgical resection;EFO:0009744;surgical resection;Dead Cell Removal Kit;130-090-101;Miltenyi Biotech;;;
767e8a28-978d-47d2-9dfa-540d096b57eb;bonemarrow_stim_collection;;BM was aspirated from the superior iliac crest. After dissociation and enrichment, 0.5 – 1x106 CD3+ enriched cells were cultured in complete medium (RPMI 1640, 10% FBS, 100 U/ml penicillin, 100 mg/ml streptomycin, 2 mM L-glutamine) for 16 hours at 37°C with TCR stimulation using Human CD3/CD28 T Cell Activator (STEMCELL Technologies 10991). After 16 hours, dead cells were removed with a dead cell removal kit (Miltenyi 130-090-101). ;;;;surgical resection;EFO:0009744;surgical resection;"Dead Cell Removal Kit; Human CD3/CD28 T Cell Activator";"130-090-101; 10991";"Miltenyi Biotech; STEMCELL Technologies";;;
