bundle_uuid	bundle_version	file_name	sample.biomaterial_core.biomaterial_id	date
1261	fc2ff50a-9cf0-4ad6-82fe-861cc4be76f8	2019-09-13T180237.644894Z	PP001_R1.fastq.gz	PP001	2019-09-13 18:02:37.644894+00:00
608	382c310a-6297-488b-b79f-5da262bfd173	2019-09-13T180237.653252Z	PP002_R2.fastq.gz	PP002	2019-09-13 18:02:37.653252+00:00
979	9ff236e0-a891-4597-8424-bcc2ff8d632e	2019-09-13T180237.648757Z	PP003_R1.fastq.gz	PP003	2019-09-13 18:02:37.648757+00:00
1098	e82a1602-06a2-4837-b357-bc94807a1d44	2019-09-13T180237.642988Z	PP004_R1.fastq.gz	PP004	2019-09-13 18:02:37.642988+00:00
869	df9c7528-333f-41d6-88eb-148af857e83a	2019-09-13T180237.640892Z	PP005_R2.fastq.gz	PP005	2019-09-13 18:02:37.640892+00:00
407	f3b7ca6b-84a3-43ba-afad-a78beae7c927	2019-09-13T180237.638486Z	PP006_R2.fastq.gz	PP006	2019-09-13 18:02:37.638486+00:00
148	7b9f6603-ce3f-48a4-9f4e-0b4fbe5351c8	2019-09-13T180237.641916Z	PP009_R1.fastq.gz	PP009	2019-09-13 18:02:37.641916+00:00
847	d5cfddb3-21c5-48af-8bfa-89a150c66de9	2019-09-13T180237.643788Z	PP010_R1.fastq.gz	PP010	2019-09-13 18:02:37.643788+00:00
557	dde6b553-f1dd-4d2c-98f3-fbecc68c1676	2019-09-14T093029.073936Z	PP011_R2.fastq.gz	PP011	2019-09-14 09:30:29.073936+00:00
624	792eb80a-8fe3-4449-9427-00fd71011926	2019-09-13T180237.645665Z	PP012_R2.fastq.gz	PP012	2019-09-13 18:02:37.645665+00:00
74	67295473-f856-403f-b893-b849f0b781fa	2019-09-13T180237.639820Z	PP013_R2.fastq.gz	PP013	2019-09-13 18:02:37.639820+00:00
785	a35160a8-fd54-4e19-8fef-722bd23dce36	2019-09-13T180237.652306Z	PP014_R1.fastq.gz	PP014	2019-09-13 18:02:37.652306+00:00
1013	4c04a68c-e185-42f3-ab6b-a41e35c3ee65	2019-09-13T180237.649766Z	PP017_R1.fastq.gz	PP017	2019-09-13 18:02:37.649766+00:00
251	0d623639-1fbe-45ce-a466-0cf14f180521	2019-09-13T180237.637173Z	PP018_R1.fastq.gz	PP018	2019-09-13 18:02:37.637173+00:00
853	5395ccdf-03f7-4955-90b1-192b1b297e5e	2019-09-13T180237.651387Z	PP019_R1.fastq.gz	PP019	2019-09-13 18:02:37.651387+00:00
549	0aee9bc6-aecc-4bc9-9964-b910cbc851fc	2019-09-13T180237.646632Z	PP020_R1.fastq.gz	PP020	2019-09-13 18:02:37.646632+00:00
