	bundle_uuid	bundle_version	file_name	sample.biomaterial_core.biomaterial_id	date	file_part
891	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L001_R1_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L001
885	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L002_R2_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L002
881	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L003_R2_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L003
877	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L004_R2_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L004
875	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L005_R2_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L005
888	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L006_R1_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L006
878	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L007_R2_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L007
882	c59a8de8-d4f3-424b-b716-06b7152b980a	2019-09-23T173114.106782Z	TLH_S11_L008_I1_001.fastq.gz	P1TLH_liver	2019-09-23 17:31:14.106782+00:00	TLH_S11_L008
1044	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L001_R1_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L001
602	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L002_R1_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L002
1115	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L003_R2_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L003
599	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L004_R2_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L004
1042	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L005_R1_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L005
1040	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L006_R2_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L006
593	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L007_I1_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L007
1036	c65efd23-bbc4-459a-ac60-d3cde705193d	2019-09-23T173114.107641Z	TLH_S3_L008_R2_001.fastq.gz	P2TLH_liver	2019-09-23 17:31:14.107641+00:00	TLH_S3_L008
948	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L001_R1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L001
957	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L002_I1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L002
951	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L003_R1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L003
1302	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L004_R1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L004
1304	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L005_R2_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L005
1238	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L006_I1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L006
959	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L007_R1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L007
954	fb2ae8b7-06b0-4881-ad9f-1f37255b91b6	2019-09-23T173114.107225Z	TLH_June_29_S1_L008_R1_001.fastq.gz	P3TLH_liver	2019-09-23 17:31:14.107225+00:00	TLH_June_29_S1_L008
1229	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L001_R1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L001
1222	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L002_I1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L002
1272	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L003_I1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L003
1213	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L004_R1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L004
1231	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L005_I1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L005
1218	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L006_I1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L006
1219	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L007_R2_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L007
1224	fd7a46db-1e90-4bfd-8e70-a77baa01faa5	2019-09-23T173114.106310Z	TLH_July_13_S6_L008_I1_001.fastq.gz	P4TLH_liver	2019-09-23 17:31:14.106310+00:00	TLH_July_13_S6_L008
991	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L001_R2_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L001
838	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L002_R1_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L002
841	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L003_R2_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L003
1067	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L004_R2_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L004
800	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L005_I1_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L005
794	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L006_I1_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L006
1004	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L007_R1_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L007
1142	be9f2d04-77ee-4f59-a0f7-f0b58034cf8c	2019-09-23T173114.105576Z	TLH_2nd_wash_S3_L008_I1_001.fastq.gz	P5TLH_liver	2019-09-23 17:31:14.105576+00:00	TLH_2nd_wash_S3_L008
