	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.biomaterial_core.biomaterial_name	cell_suspension.biomaterial_core.biomaterial_description	cell_suspension.biomaterial_core.ncbi_taxon_id	cell_suspension.biomaterial_core.genotype	cell_suspension.biomaterial_core.supplementary_files	cell_suspension.biomaterial_core.biosamples_accession	cell_suspension.biomaterial_core.insdc_sample_accession	cell_suspension.biomaterial_core.HDBR_accession	cell_suspension.cell_morphology.cell_morphology	cell_suspension.cell_morphology.cell_size	cell_suspension.cell_morphology.cell_size_unit.text	cell_suspension.cell_morphology.cell_size_unit.ontology	cell_suspension.cell_morphology.cell_size_unit.ontology_label	cell_suspension.cell_morphology.percent_cell_viability	cell_suspension.cell_morphology.cell_viability_method	cell_suspension.cell_morphology.cell_viability_result	cell_suspension.cell_morphology.percent_necrosis	cell_suspension.growth_conditions.passage_number	cell_suspension.growth_conditions.growth_medium	cell_suspension.growth_conditions.culture_environment	cell_suspension.growth_conditions.mycoplasma_testing_method	cell_suspension.growth_conditions.mycoplasma_testing_results	cell_suspension.growth_conditions.drug_treatment	cell_suspension.growth_conditions.feeder_layer_type	cell_suspension.genus_species.text	cell_suspension.genus_species.ontology	cell_suspension.genus_species.ontology_label	cell_suspension.selected_cell_types.text	cell_suspension.selected_cell_types.ontology	cell_suspension.selected_cell_types.ontology_label	cell_suspension.estimated_cell_count	cell_suspension.plate_based_sequencing.plate_label	cell_suspension.plate_based_sequencing.well_label	cell_suspension.plate_based_sequencing.well_quality	cell_suspension.timecourse.value	cell_suspension.timecourse.unit.text	cell_suspension.timecourse.unit.ontology	cell_suspension.timecourse.unit.ontology_label	cell_suspension.timecourse.relevance	specimen_from_organism.biomaterial_core.biomaterial_id	cell_line.biomaterial_core.biomaterial_id	differentiation_protocol.protocol_core.protocol_id	dissociation_protocol.protocol_core.protocol_id	enrichment_protocol.protocol_core.protocol_id	process.process_core.process_id_x	process.process_core.process_name_x	process.process_core.process_description_x	process.process_core.location_x	process.process_core.operators_x	process.start_time_x	process.end_time_x	process.length_of_time_x	process.length_of_time_unit.text_x	process.length_of_time_unit.ontology_x	process.length_of_time_unit.ontology_label_x	process.type.text_x	process.type.ontology_x	process.type.ontology_label_x	process.deviation_from_protocol_x	process.insdc_experiment.insdc_experiment_accession_x	cell_suspension.insdc_experiment.insdc_experiment_accession	sequence_file.file_core.file_name	sequence_file.file_core.format	sequence_file.file_core.content_description.text	sequence_file.file_core.content_description.ontology	sequence_file.file_core.content_description.ontology_label	sequence_file.file_core.checksum	sequence_file.read_index	sequence_file.lane_index	sequence_file.read_length	sequence_file.insdc_run_accessions	sequence_file.library_prep_id	library_preparation_protocol.protocol_core.protocol_id	sequencing_protocol.protocol_core.protocol_id	process.process_core.process_id_y	process.process_core.process_name_y	process.process_core.process_description_y	process.process_core.location_y	process.process_core.operators_y	process.start_time_y	process.end_time_y	process.length_of_time_y	process.length_of_time_unit.text_y	process.length_of_time_unit.ontology_y	process.length_of_time_unit.ontology_label_y	process.type.text_y	process.type.ontology_y	process.type.ontology_label_y	process.deviation_from_protocol_y	process.insdc_experiment.insdc_experiment_accession_y
0	SAMEA6833352	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833352																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-bezi_3	HPSI0114i-bezi_3	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699947_1.fastq.gz	fastq.gz					read1			ERR4699947		library_preparation_protocol	sequencing_protocol	ERR4699947															ERX4621407
1	SAMEA6833352	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833352																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-bezi_3	HPSI0114i-bezi_3	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699947_2.fastq.gz	fastq.gz					read2			ERR4699947		library_preparation_protocol	sequencing_protocol	ERR4699947															ERX4621407
2	SAMEA6833353	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833353																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-eipl_1	HPSI0114i-eipl_1	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699948_1.fastq.gz	fastq.gz					read1			ERR4699948		library_preparation_protocol	sequencing_protocol	ERR4699948															ERX4621408
3	SAMEA6833353	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833353																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-eipl_1	HPSI0114i-eipl_1	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699948_2.fastq.gz	fastq.gz					read2			ERR4699948		library_preparation_protocol	sequencing_protocol	ERR4699948															ERX4621408
4	SAMEA6833357	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833357																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-fikt_3	HPSI0114i-fikt_3	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699949_1.fastq.gz	fastq.gz					read1			ERR4699949		library_preparation_protocol	sequencing_protocol	ERR4699949															ERX4621409
5	SAMEA6833357	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833357																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-fikt_3	HPSI0114i-fikt_3	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699949_2.fastq.gz	fastq.gz					read2			ERR4699949		library_preparation_protocol	sequencing_protocol	ERR4699949															ERX4621409
6	SAMEA6833358	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833358																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-kolf_2	HPSI0114i-kolf_2	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699950_1.fastq.gz	fastq.gz					read1			ERR4699950		library_preparation_protocol	sequencing_protocol	ERR4699950															ERX4621410
7	SAMEA6833358	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833358																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-kolf_2	HPSI0114i-kolf_2	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699950_2.fastq.gz	fastq.gz					read2			ERR4699950		library_preparation_protocol	sequencing_protocol	ERR4699950															ERX4621410
8	SAMEA6833359	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833359																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-lexy_2	HPSI0114i-lexy_2	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699951_1.fastq.gz	fastq.gz					read1			ERR4699951		library_preparation_protocol	sequencing_protocol	ERR4699951															ERX4621411
9	SAMEA6833359	pooled ipsc-derived neuronal cells	pooled ipsc-derived neuronal cells	9606.0			SAMEA6833359																			Homo sapiens	NCBITaxon:9606	Homo sapiens	neuronal	CL:0000540	neuron					11.0	day	UO:0000033	day	Day at which single-cell RNA-sequencing library preparations were generated from cells following their dissociation and differentiation.	HPSI0114i-lexy_2	HPSI0114i-lexy_2	differentiation_protocol_ipscs_step1	enzymatic_dissociation_before_differentiation_ipscs	enrichment_protocol_size_selection																		ERR4699951_2.fastq.gz	fastq.gz					read2			ERR4699951		library_preparation_protocol	sequencing_protocol	ERR4699951															ERX4621411
