Source Name	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[library construction]	Comment[single cell isolation]	Comment[input molecule]	Comment[primer]	Comment[end bias]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Assay Name	Technology Type	Scan Name	Comment[ENA_EXPERIMENT]	Comment[technical replicate group]	Comment[ENA_RUN]	Comment[read1 file]	Comment[read2 file]	Comment[SRA_URI]
10X01_1_cells		Mus musculus	Ad01	female	28	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X01_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X01_1_cells	sequencing assay	10X01_1_cells	SRX3809379		SRR6854071	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X02_1_cells		Mus musculus	Ad02	female	29	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X02_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X02_1_cells	sequencing assay	10X02_1_cells	SRX3809378		SRR6854072	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X04_1_cells		Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	hippocampal formation	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X04_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X04_1_cells	sequencing assay	10X04_1_cells	SRX3809349		SRR6854101	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X04_2_cells		Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	hippocampal formation	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X04_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X04_2_cells	sequencing assay	10X04_2_cells	SRX3809348		SRR6854102	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X04_4_cells		Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X04_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X04_4_cells	sequencing assay	10X04_4_cells	SRX3809350		SRR6854100	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X05_1_cells		Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X05_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X05_1_cells	sequencing assay	10X05_1_cells	SRX3809305		SRR6854145	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X05_2_cells		Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X05_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X05_2_cells	sequencing assay	10X05_2_cells	SRX3809304		SRR6854146	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X05_3_cells		Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	dorsal striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X05_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X05_3_cells	sequencing assay	10X05_3_cells	SRX3809355		SRR6854095	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X05_4_cells		Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	dorsal striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X05_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X05_4_cells	sequencing assay	10X05_4_cells	SRX3809354		SRR6854096	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X06_1_cells		Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X06_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X06_1_cells	sequencing assay	10X06_1_cells	SRX3809361		SRR6854089	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X06_2_cells		Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X06_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X06_2_cells	sequencing assay	10X06_2_cells	SRX3809360		SRR6854090	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X06_3_cells		Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	hypothalamus	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X06_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X06_3_cells	sequencing assay	10X06_3_cells	SRX3809363		SRR6854087	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X11_1_cells		Mus musculus	Ad07	male	22 to 24	day	Theiler stage 28	brain	medulla	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X11_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X11_1_cells	sequencing assay	10X11_1_cells	SRX3809362		SRR6854088	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X19_2_cells		Mus musculus	Ad09	male	21	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X19_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X19_2_cells	sequencing assay	10X19_2_cells	SRX3809364		SRR6854086	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X20_1_cells		Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X20_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X20_1_cells	sequencing assay	10X20_1_cells	SRX3809359		SRR6854091	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X20_2_cells		Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X20_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X20_2_cells	sequencing assay	10X20_2_cells	SRX3809358		SRR6854092	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X20_3_cells		Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X20_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X20_3_cells	sequencing assay	10X20_3_cells	SRX3809280		SRR6854053	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X20_4_cells		Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X20_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X20_4_cells	sequencing assay	10X20_4_cells	SRX3809281		SRR6854054	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X22_1_cells		Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X22_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X22_1_cells	sequencing assay	10X22_1_cells	SRX3809282		SRR6854055	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X22_2_cells		Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X22_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X22_2_cells	sequencing assay	10X22_2_cells	SRX3809283		SRR6854056	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X22_3_cells		Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	hippocampal formation	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X22_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X22_3_cells	sequencing assay	10X22_3_cells	SRX3809284		SRR6854057	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X22_4_cells		Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	hippocampal formation	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X22_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X22_4_cells	sequencing assay	10X22_4_cells	SRX3809285		SRR6854058	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X24_1_cells		Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	dorsal striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X24_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X24_1_cells	sequencing assay	10X24_1_cells	SRX3809286		SRR6854059	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X24_2_cells		Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	dorsal striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X24_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X24_2_cells	sequencing assay	10X24_2_cells	SRX3809287		SRR6854060	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X24_3_cells		Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X24_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X24_3_cells	sequencing assay	10X24_3_cells	SRX3809288		SRR6854051	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X24_4_cells		Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	thalamic complex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X24_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X24_4_cells	sequencing assay	10X24_4_cells	SRX3809289		SRR6854052	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
