	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[cell type]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Source Name	Assay Name	Scan Name	Extract Name	Comment[BioSD_SAMPLE]	Comment[ENA_EXPERIMENT]	Comment[ENA_RUN]	Comment[technical replicate group]	Material Type_1	Material Type_2	Comment[input molecule]	Comment[library construction]	Comment[single cell isolation]	Comment[primer]	Comment[end bias]	Comment[umi barcode read]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode read]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode read]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Technology Type	Characteristics[immunophenotype]	Characteristics[stimulus]
0	Mus musculus	Ad01	female	28	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X01_1_cells	10X01_1_cells	10X01_1_cells	10X01_1_cells		SRX3809379	SRR6854071		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
1	Mus musculus	Ad02	female	29	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X02_1_cells	10X02_1_cells	10X02_1_cells	10X02_1_cells		SRX3809378	SRR6854072		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
2	Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	hippocampal formation		normal	alive	isoflurane	mouse donor	10X04_1_cells	10X04_1_cells	10X04_1_cells	10X04_1_cells		SRX3809349	SRR6854101		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
3	Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	hippocampal formation		normal	alive	isoflurane	mouse donor	10X04_2_cells	10X04_2_cells	10X04_2_cells	10X04_2_cells		SRX3809348	SRR6854102		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
4	Mus musculus	Ad04	female	28	day	Theiler stage 28	brain	olfactory bulb		normal	alive	isoflurane	mouse donor	10X04_4_cells	10X04_4_cells	10X04_4_cells	10X04_4_cells		SRX3809350	SRR6854100		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
5	Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X05_1_cells	10X05_1_cells	10X05_1_cells	10X05_1_cells		SRX3809305	SRR6854145		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
6	Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X05_2_cells	10X05_2_cells	10X05_2_cells	10X05_2_cells		SRX3809304	SRR6854146		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
7	Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	dorsal striatum		normal	alive	isoflurane	mouse donor	10X05_3_cells	10X05_3_cells	10X05_3_cells	10X05_3_cells		SRX3809355	SRR6854095		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
8	Mus musculus	Ad05	female	29	day	Theiler stage 28	brain	dorsal striatum		normal	alive	isoflurane	mouse donor	10X05_4_cells	10X05_4_cells	10X05_4_cells	10X05_4_cells		SRX3809354	SRR6854096		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
9	Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X06_1_cells	10X06_1_cells	10X06_1_cells	10X06_1_cells		SRX3809361	SRR6854089		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
10	Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X06_2_cells	10X06_2_cells	10X06_2_cells	10X06_2_cells		SRX3809360	SRR6854090		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
11	Mus musculus	Ad06	male	30	day	Theiler stage 28	brain	hypothalamus		normal	alive	isoflurane	mouse donor	10X06_3_cells	10X06_3_cells	10X06_3_cells	10X06_3_cells		SRX3809363	SRR6854087		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
