bundle_uuid	bundle_version	file_name	file_format	read_index	file_size	file_uuid	file_version	file_sha256	file_content_type	cell_suspension.provenance.document_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.diseases	donor_organism.organism_age	donor_organism.organism_age_unit	cell_line.provenance.document_id	cell_line.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id
031457c5-b6f7-4347-b09b-3a7b78331b97	2019-10-04T094331.865859Z	SRR5295033_1.fastq.gz	fastq.gz	read1	174370864	0f4d80b5-9fa3-4274-a42b-7ab7923a3455	2019-07-26T201136.169624Z	2e3277c5bd2ab587413633a3214f1b4c348d5f0b5e0cbb5979334936140b9985	application/gzip; dcp-type=data	8ca0f2a5-77c3-4afd-9afc-301967b31255	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S2_healthy	022b8e80-8a42-4344-86d5-ebc74ee6b6df	Homo sapiens	normal	57	year							specimens	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	Human_S2_healthy_colon
031457c5-b6f7-4347-b09b-3a7b78331b97	2019-10-04T094331.865859Z	SRR5295033_2.fastq.gz	fastq.gz	read2	185059391	13654dc1-0c28-451e-a488-248150173470	2019-07-26T201136.329877Z	01390f9a4141c0a1f5019e027f4b95cdf702bc19766359175a876973e806eea3	application/gzip; dcp-type=data	8ca0f2a5-77c3-4afd-9afc-301967b31255	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S2_healthy	022b8e80-8a42-4344-86d5-ebc74ee6b6df	Homo sapiens	normal	57	year							specimens	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	Human_S2_healthy_colon
1c0532d9-f15b-4d6b-9c27-a138c28e13fb	2019-10-04T094331.963433Z	SRR5295280_2.fastq.gz	fastq.gz	read2	59010446	f71a4f15-27b2-468a-a330-3fae3962ff27	2019-07-26T182542.217800Z	9c84f6f9ac30d0fe2caaa6a0aa10cd240dbab532799dcab43fca376e3a45669a	application/gzip; dcp-type=data	f59b9a2c-1950-4423-b903-9a6a5d8c4aa1	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	0e0fd953-2a55-4729-8e21-e07d799a5b18	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S6_UC	fbac9967-6bab-4f1b-90c6-2c754cb651f1	Homo sapiens	ulcerative colitis (disease)	30	year							specimens	0e0fd953-2a55-4729-8e21-e07d799a5b18	Human_S6_UC_noninflammed_colon
033af420-3f79-4b58-a5d2-b2f62278037d	2019-10-04T094331.910254Z	SRR5295207_1.fastq.gz	fastq.gz	read1	67810888	c9274c5c-7b7a-4708-b16b-bde1f3c67449	2019-07-26T182357.942624Z	8ea53c8f8fd3b4d7990517ce109cb6e31d5ec6c58133331f84db36c845ae350f	application/gzip; dcp-type=data	cdb7357e-09d2-4736-9c74-dfc3badbff61	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	Human_S5_UC_noninflammed_colon
0faa4d2b-4785-4f48-84ed-e322f3e68b46	2019-10-04T094331.725190Z	SRR5295295_1.fastq.gz	fastq.gz	read1	78190363	cedba939-54f7-46cf-a587-64f2ec9f7557	2019-07-26T201401.087066Z	1e7d93223d9dab5ad57d4162ec63e28dd605ed4c24679e3f3633963e8a2e902d	application/gzip; dcp-type=data	340fcc62-e8ec-45fb-aa95-d46e0eb3ba6e	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	08e099e0-ce8d-4394-ae1a-e4bb2699ef3f	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S6_UC	fbac9967-6bab-4f1b-90c6-2c754cb651f1	Homo sapiens	ulcerative colitis (disease)	30	year							specimens	08e099e0-ce8d-4394-ae1a-e4bb2699ef3f	Human_S6_UC_inflammed_colon
343b6633-0006-49fc-a33d-5e16e413284f	2019-10-04T094331.730443Z	SRR5294959_2.fastq.gz	fastq.gz	read2	271257163	b86812cf-5d95-4441-a0ed-ca5412e8ec0f	2019-07-26T200254.827220Z	1ac40fa84fc350d534c6267abbabe992fb3bbed6dd41718797ceb97ab1f0c8ab	application/gzip; dcp-type=data	83806702-63ad-485e-93e8-80cf50a0307f	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S3_healthy	f0446fba-413b-4e7c-ba3c-019c70c0135f	Homo sapiens	normal	50	year							specimens	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	Human_S3_healthy_colon
343b6633-0006-49fc-a33d-5e16e413284f	2019-10-04T094331.730443Z	SRR5294959_1.fastq.gz	fastq.gz	read1	256807526	0df96f69-f214-4204-8141-0c6df7928ed5	2019-07-26T200254.691755Z	66a062091be3bfa0cd988c28786861bb4bf8e810af78c96f37bdca3f086134e7	application/gzip; dcp-type=data	83806702-63ad-485e-93e8-80cf50a0307f	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S3_healthy	f0446fba-413b-4e7c-ba3c-019c70c0135f	Homo sapiens	normal	50	year							specimens	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	Human_S3_healthy_colon
13d8340e-e454-4ead-9191-d3fe448b4144	2019-10-04T094331.605294Z	SRR5295242_2.fastq.gz	fastq.gz	read2	95573721	9c0d500a-0513-40c4-85ce-ea3263a685c2	2019-07-26T201424.915162Z	200c5c5a97fd12eb0e55eafb89c072b5a471481c5fc8143cb53e7dd675cb78cf	application/gzip; dcp-type=data	cb3b3a1e-83f2-48ac-9943-47f09bad1ec7	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	Human_S5_UC_noninflammed_colon
13d8340e-e454-4ead-9191-d3fe448b4144	2019-10-04T094331.605294Z	SRR5295242_1.fastq.gz	fastq.gz	read1	85163169	72a62f68-2eb0-4f17-b562-80da7baf8c9f	2019-07-26T201424.759317Z	216b68f1ccaf0df291dac17f5344e84dd1f66fafd82370afb41a54380bdac0cb	application/gzip; dcp-type=data	cb3b3a1e-83f2-48ac-9943-47f09bad1ec7	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	Human_S5_UC_noninflammed_colon
0f865df7-63c8-445a-952f-a1c39e0ba072	2019-10-04T094331.641621Z	SRR5295181_1.fastq.gz	fastq.gz	read1	64636017	97522eee-16ef-4207-9811-ee6286daaff1	2019-07-26T182323.371173Z	24a46fddb7bb34ea01faae5f74db04b91fdeebf208b57b31ddc83c4e66cc058d	application/gzip; dcp-type=data	f0ea3fbb-446c-44f8-b62b-50c31b6cca37	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b8ecbf1d-de2b-4b60-ba56-0b6131eb4322	Human_S5_UC_noninflammed_colon
22106ad5-759a-4753-bf54-c0557efd8e12	2019-10-04T094331.601434Z	SRR5295045_1.fastq.gz	fastq.gz	read1	195894290	4f9a2cb5-e8bf-453a-ae4e-bbc61527f45d	2019-07-26T200354.747056Z	87def4b5f1f2288d4c4c61410a084d7a97e7a85fc8305c33302fa8ad9994ffdc	application/gzip; dcp-type=data	514b69d3-5e73-436b-a835-58a80465a13c	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S1_healthy	676a2828-ae08-4c11-b076-b516e3bcfcbf	Homo sapiens	normal	69	year							specimens	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	Human_S1_healthy_colon
1b377315-9bb7-47a4-96f0-aebf4c9b1efc	2019-10-04T094331.864213Z	SRR5295192_2.fastq.gz	fastq.gz	read2	71183227	8135c613-d42b-4cb3-8c6e-45e724abe7b3	2019-07-26T182328.469947Z	599af0bdf4d38e86982e8a58cd8fab9639710f287e7997b1c82aaaf4a502dc44	application/gzip; dcp-type=data	b22a9c91-d57c-422e-9aed-415c7b02bac5	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b586597d-35a3-44c9-a871-c16e1b06e2e3	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b586597d-35a3-44c9-a871-c16e1b06e2e3	Human_S5_UC_inflammed_colon
01e53cc2-e968-4a90-a720-9975a6fb13cf	2019-10-04T094331.656008Z	SRR5294985_2.fastq.gz	fastq.gz	read2	129774242	898c6fe8-b02e-4a5e-b207-522e3f22388e	2019-07-26T200627.279039Z	a46f9e44c95344ae42c56bf23f841841bdb7b7ade454765237e022dd99a394de	application/gzip; dcp-type=data	ec256abd-c825-4a57-8b31-72ddd84083ca	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S2_healthy	022b8e80-8a42-4344-86d5-ebc74ee6b6df	Homo sapiens	normal	57	year							specimens	1fd95d59-d4a0-4c1f-8cb6-444eaec68c8b	Human_S2_healthy_colon
f39a6eb8-b182-451b-a6be-64646780ce62	2019-10-04T094331.662960Z	SRR5295106_2.fastq.gz	fastq.gz	read2	142575678	5330cdf0-ff7a-4fdc-be05-83c4acb946c2	2019-07-26T200619.692368Z	1209800c83882a4cab383eb2c6bac3e2932910ec4a019cb16cf5fa08630a31d8	application/gzip; dcp-type=data	4323935c-9c17-4dd5-97db-790a43f08fe3	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S1_healthy	676a2828-ae08-4c11-b076-b516e3bcfcbf	Homo sapiens	normal	69	year							specimens	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	Human_S1_healthy_colon
22106ad5-759a-4753-bf54-c0557efd8e12	2019-10-04T094331.601434Z	SRR5295045_2.fastq.gz	fastq.gz	read2	210733364	11ff7a9c-a7aa-425b-a1ed-c19e1001e4b1	2019-07-26T200354.940496Z	f14a42a31780e197425bd34db58dd9582734d37ff75015f5d16866810c9fb9b6	application/gzip; dcp-type=data	514b69d3-5e73-436b-a835-58a80465a13c	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S1_healthy	676a2828-ae08-4c11-b076-b516e3bcfcbf	Homo sapiens	normal	69	year							specimens	9fe27d4f-8566-4fa8-9549-08e0d37f6bdc	Human_S1_healthy_colon
34091d9c-eb6a-4167-84b2-c881f44f2ea1	2019-10-04T094331.805999Z	SRR5294960_2.fastq.gz	fastq.gz	read2	207401310	b9c2b634-ccc8-475a-84bc-f79c168fa933	2019-07-26T200418.388548Z	362c90078d91f2046c8a5eab6af3cdadb10efa66e6345fcebf1fe59a3306623a	application/gzip; dcp-type=data	0951b6d1-c9de-416e-8e0f-b995abd3ce97	1	stromal cell	Illumina HiSeq 2500	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	normal	colon	lamina propria of mucosa of colon	fresh	female	Human_S3_healthy	f0446fba-413b-4e7c-ba3c-019c70c0135f	Homo sapiens	normal	50	year							specimens	f7661c72-aa1d-4a1b-a1a0-15ab6c025abc	Human_S3_healthy_colon
4d4830c4-b8ec-41f3-b2a1-db7df948e7b0	2019-10-04T094331.502689Z	SRR5295205_2.fastq.gz	fastq.gz	read2	67026914	fec183e5-fe70-4168-a083-7ec3ef725bdc	2019-07-26T182442.410095Z	dec356899bff65f46ee876ae5fcc47d1080234c5b802c133e5a3e3fcc9c49caa	application/gzip; dcp-type=data	f9932a71-7cb1-4717-b36c-ebdf952540ed	1	stromal cell	Illumina HiSeq 4000	True	Smart-Seq	f8aa201c-4ff1-45a4-890e-840d63459ca2	Celgene Corporation || EMBL-EBI || Novo Nordisk Research Centre Oxford || OncoResponse, Inc || University of Oxford	Human Cell Atlas Data Coordination Platform || Kennedy Institute of Rheumatology || MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine || Translational Development || Weatherall Institute of Molecular Medicine || Wellcome Trust Centre for Human Genetics	HumanColonicMesenchymeIBD	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	b586597d-35a3-44c9-a871-c16e1b06e2e3	ulcerative colitis (disease)	colon	lamina propria of mucosa of colon	fresh	male	Human_S5_UC	408cc657-bae1-45ba-a5b4-98bbd4973f87	Homo sapiens	ulcerative colitis (disease)	45	year							specimens	b586597d-35a3-44c9-a871-c16e1b06e2e3	Human_S5_UC_inflammed_colon
